"cell_id","regime","regime_label","tau0","n","rep","seed","status","error_message","loglik_iid","loglik_matern_original","loglik_matern_refined","delta_original","delta_refined","selection_original","selection_refined","fitted_range_original","fitted_range_refined","range_ratio_refined","flip_to_iid"
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,56,21660469,"ok",NA,-252.963196236137,-252.060539043179,-252.060539043179,0.902657192958031,0.902657192958031,"matern","matern",0.000125957654057058,0.000125957654057058,1,FALSE
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,7,21660420,"ok",NA,-257.5907784388,-257.137732808033,-257.137732808033,0.453045630767406,0.453045630767406,"matern","matern",3.22962275447422e-11,3.22962275447422e-11,1,FALSE
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,23,21660436,"ok",NA,-251.743963457003,-251.131069406882,-251.131069406882,0.612894050120985,0.612894050120985,"matern","matern",4.03410093948211e-11,4.03410093948211e-11,1,FALSE
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,13,21660426,"ok",NA,-243.751684639723,-243.018162678577,-243.018162678577,0.73352196114638,0.73352196114638,"matern","matern",0.0102420483757271,0.0102420483757271,1,FALSE
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,26,21660439,"ok",NA,-266.469334897647,-266.425444748525,-266.425444748525,0.0438901491222623,0.0438901491222623,"matern","matern",1.47148626396233e-11,1.47148626396233e-11,1,FALSE
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,14,21660427,"ok",NA,-249.689463573368,-249.520963674853,-249.520963674853,0.16849989851562,0.16849989851562,"matern","matern",2.88505921483832e-11,2.88505921483832e-11,1,FALSE
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,45,21660458,"ok",NA,-263.64059135908,-260.626067382754,-260.626067382754,3.01452397632556,3.01452397632556,"matern","matern",0.0117934649065465,0.0117934649065465,1,FALSE
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,60,21660473,"ok",NA,-260.745852856496,-260.669256306357,-260.669256306357,0.0765965501386745,0.0765965501386745,"matern","matern",8.0358462863414e-05,8.0358462863414e-05,1,FALSE
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,22,21660435,"ok",NA,-234.925322087281,-234.685421835148,-234.685421835148,0.239900252132998,0.239900252132998,"matern","matern",1.98571912004419e-29,1.98571912004419e-29,1,FALSE
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,10,21660423,"ok",NA,-256.776976520047,-256.320597484884,-256.320597484884,0.456379035162286,0.456379035162286,"matern","matern",5.12548145796927e-05,5.12548145796927e-05,1,FALSE
"increasing_domain__tau0_0.5__n_640","increasing_domain","increasing-domain",0.5,640,15,21860428,"ok",NA,-505.038010006325,-504.621052100973,-504.621052100973,0.41695790535141,0.41695790535141,"matern","matern",0.000269781710322033,0.000269781710322033,1,FALSE
